,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,28.059999,28.23,27.34,28.049999,28.049999,135600.0,2021-07-06,AORT
1,28.02,28.16,27.48,28.07,28.07,74600.0,2021-07-07,AORT
2,27.559999,27.9,27.27,27.790001,27.790001,67300.0,2021-07-08,AORT
3,27.969999,27.98,27.719999,27.790001,27.790001,60700.0,2021-07-09,AORT
4,27.65,27.870001,27.4,27.58,27.58,82000.0,2021-07-12,AORT
5,27.35,27.77,27.0,27.23,27.23,110900.0,2021-07-13,AORT
6,27.26,27.26,26.450001,26.540001,26.540001,117600.0,2021-07-14,AORT
7,26.16,26.309999,25.690001,25.860001,25.860001,97600.0,2021-07-15,AORT
8,26.1,26.1,25.52,25.620001,25.620001,67800.0,2021-07-16,AORT
9,25.129999,26.139999,25.129999,25.52,25.52,120800.0,2021-07-19,AORT
10,25.66,26.860001,25.66,26.43,26.43,245700.0,2021-07-20,AORT
11,26.540001,26.76,26.190001,26.290001,26.290001,96200.0,2021-07-21,AORT
12,26.09,26.219999,25.4,25.59,25.59,66700.0,2021-07-22,AORT
13,25.790001,25.9,25.26,25.76,25.76,78800.0,2021-07-23,AORT
14,26.0,26.120001,25.75,25.9,25.9,91400.0,2021-07-26,AORT
15,25.67,25.959999,25.41,25.870001,25.870001,143700.0,2021-07-27,AORT
16,26.139999,26.719999,25.690001,26.65,26.65,90200.0,2021-07-28,AORT
17,27.15,27.66,27.0,27.41,27.41,170000.0,2021-07-29,AORT
18,27.01,28.0,26.360001,27.0,27.0,263300.0,2021-07-30,AORT
19,27.27,27.639999,26.9,26.950001,26.950001,295500.0,2021-08-02,AORT
20,27.0,27.190001,26.23,26.969999,26.969999,186100.0,2021-08-03,AORT
21,26.629999,27.57,26.629999,26.719999,26.719999,131100.0,2021-08-04,AORT
22,26.9,27.440001,26.549999,27.17,27.17,123200.0,2021-08-05,AORT
23,27.469999,27.469999,26.73,27.309999,27.309999,68200.0,2021-08-06,AORT
24,27.18,27.27,26.93,27.1,27.1,75800.0,2021-08-09,AORT
25,27.040001,27.1,26.51,26.73,26.73,218500.0,2021-08-10,AORT
26,26.620001,26.620001,26.129999,26.299999,26.299999,86300.0,2021-08-11,AORT
27,26.08,26.08,25.48,25.5,25.5,83700.0,2021-08-12,AORT
28,25.43,25.43,24.879999,25.139999,25.139999,87500.0,2021-08-13,AORT
29,25.07,25.719999,24.91,25.639999,25.639999,64300.0,2021-08-16,AORT
30,25.370001,25.85,24.93,25.629999,25.629999,56200.0,2021-08-17,AORT
31,25.58,25.879999,25.1,25.129999,25.129999,65200.0,2021-08-18,AORT
32,24.950001,25.43,24.719999,25.02,25.02,93800.0,2021-08-19,AORT
33,24.969999,25.540001,24.73,25.42,25.42,92100.0,2021-08-20,AORT
34,25.52,26.09,25.51,25.92,25.92,59800.0,2021-08-23,AORT
35,26.030001,26.51,25.48,25.9,25.9,78900.0,2021-08-24,AORT
36,25.77,26.18,25.4,25.43,25.43,100100.0,2021-08-25,AORT
37,25.209999,25.4,24.68,24.9,24.9,99100.0,2021-08-26,AORT
38,24.84,25.98,24.84,25.950001,25.950001,149900.0,2021-08-27,AORT
39,26.09,26.290001,25.6,25.75,25.75,80800.0,2021-08-30,AORT
40,25.67,26.629999,25.549999,26.24,26.24,142700.0,2021-08-31,AORT
41,26.379999,26.51,25.82,26.41,26.41,126400.0,2021-09-01,AORT
42,26.4,26.9,26.32,26.450001,26.450001,93100.0,2021-09-02,AORT
43,26.4,26.4,25.360001,25.77,25.77,101600.0,2021-09-03,AORT
44,25.940001,26.299999,25.299999,26.200001,26.200001,87000.0,2021-09-07,AORT
45,25.959999,26.32,25.93,26.0,26.0,131400.0,2021-09-08,AORT
46,26.02,26.040001,25.25,25.280001,25.280001,113800.0,2021-09-09,AORT
47,25.379999,25.389999,24.65,24.83,24.83,127800.0,2021-09-10,AORT
48,25.040001,25.040001,24.469999,24.91,24.91,137700.0,2021-09-13,AORT
49,25.110001,25.219999,24.42,24.610001,24.610001,208600.0,2021-09-14,AORT
50,24.51,24.85,24.040001,24.83,24.83,130000.0,2021-09-15,AORT
51,24.940001,24.940001,24.440001,24.629999,24.629999,135900.0,2021-09-16,AORT
52,24.65,24.65,23.700001,23.940001,23.940001,613400.0,2021-09-17,AORT
53,23.51,23.77,22.700001,22.959999,22.959999,216000.0,2021-09-20,AORT
54,23.25,23.85,23.16,23.57,23.57,189100.0,2021-09-21,AORT
55,23.790001,24.25,23.49,23.74,23.74,93300.0,2021-09-22,AORT
56,23.780001,23.82,23.41,23.68,23.68,132500.0,2021-09-23,AORT
57,23.469999,23.620001,23.16,23.219999,23.219999,132100.0,2021-09-24,AORT
58,23.15,23.66,22.950001,23.4,23.4,130000.0,2021-09-27,AORT
59,23.200001,23.200001,22.889999,22.959999,22.959999,122000.0,2021-09-28,AORT
60,22.950001,23.299999,22.639999,22.73,22.73,98500.0,2021-09-29,AORT
61,22.92,22.959999,22.16,22.290001,22.290001,163200.0,2021-09-30,AORT
62,22.4,23.200001,21.860001,22.84,22.84,216300.0,2021-10-01,AORT
63,22.709999,22.84,22.1,22.389999,22.389999,142700.0,2021-10-04,AORT
64,22.309999,22.93,22.200001,22.66,22.66,174000.0,2021-10-05,AORT
65,22.459999,22.629999,21.780001,22.120001,22.120001,89300.0,2021-10-06,AORT
66,22.129999,22.42,21.969999,21.99,21.99,161700.0,2021-10-07,AORT
67,21.959999,22.110001,21.719999,21.77,21.77,141600.0,2021-10-08,AORT
68,21.799999,21.799999,21.110001,21.35,21.35,136300.0,2021-10-11,AORT
69,21.360001,21.67,21.309999,21.549999,21.549999,56600.0,2021-10-12,AORT
70,21.51,21.59,21.290001,21.52,21.52,102300.0,2021-10-13,AORT
71,21.709999,21.790001,21.299999,21.52,21.52,77300.0,2021-10-14,AORT
72,21.889999,21.950001,21.290001,21.360001,21.360001,128000.0,2021-10-15,AORT
73,21.27,21.280001,20.66,20.690001,20.690001,70200.0,2021-10-18,AORT
74,20.6,21.15,20.6,21.07,21.07,84600.0,2021-10-19,AORT
75,21.129999,21.209999,20.780001,21.18,21.18,71800.0,2021-10-20,AORT
76,21.18,21.370001,21.030001,21.09,21.09,113800.0,2021-10-21,AORT
77,21.049999,21.389999,20.889999,21.040001,21.040001,65300.0,2021-10-22,AORT
78,21.08,21.35,20.85,21.24,21.24,74600.0,2021-10-25,AORT
79,21.23,21.32,21.0,21.129999,21.129999,83000.0,2021-10-26,AORT
80,21.0,21.02,20.620001,20.67,20.67,98400.0,2021-10-27,AORT
81,20.68,20.82,20.33,20.49,20.49,193800.0,2021-10-28,AORT
82,20.379999,20.68,20.09,20.639999,20.639999,97500.0,2021-10-29,AORT
83,20.82,21.280001,20.57,21.030001,21.030001,106700.0,2021-11-01,AORT
84,21.18,21.18,20.549999,20.82,20.82,77700.0,2021-11-02,AORT
85,20.85,21.370001,20.799999,21.27,21.27,86900.0,2021-11-03,AORT
86,21.33,21.42,20.780001,21.209999,21.209999,120300.0,2021-11-04,AORT
87,21.5,23.139999,21.5,22.18,22.18,224600.0,2021-11-05,AORT
88,22.200001,22.6,21.809999,22.25,22.25,164600.0,2021-11-08,AORT
89,22.24,22.42,21.280001,21.82,21.82,151500.0,2021-11-09,AORT
90,21.66,21.77,21.059999,21.32,21.32,127600.0,2021-11-10,AORT
91,21.35,21.35,20.84,20.879999,20.879999,138600.0,2021-11-11,AORT
92,21.08,21.08,20.209999,20.24,20.24,186000.0,2021-11-12,AORT
93,20.35,20.35,19.690001,19.870001,19.870001,175300.0,2021-11-15,AORT
94,19.6,20.08,19.440001,19.549999,19.549999,214100.0,2021-11-16,AORT
95,19.42,19.860001,19.35,19.690001,19.690001,179300.0,2021-11-17,AORT
96,19.639999,19.75,18.74,19.219999,19.219999,229100.0,2021-11-18,AORT
97,18.99,19.08,18.58,18.950001,18.950001,177000.0,2021-11-19,AORT
98,19.049999,19.209999,18.620001,18.84,18.84,185300.0,2021-11-22,AORT
99,18.719999,18.77,18.18,18.370001,18.370001,239800.0,2021-11-23,AORT
100,18.209999,18.959999,18.15,18.84,18.84,118300.0,2021-11-24,AORT
101,18.34,18.51,17.6,18.309999,18.309999,200500.0,2021-11-26,AORT
102,18.610001,18.68,17.27,17.360001,17.360001,224400.0,2021-11-29,AORT
103,17.25,17.59,16.950001,17.190001,17.190001,223400.0,2021-11-30,AORT
104,17.879999,18.18,17.74,17.799999,17.799999,257200.0,2021-12-01,AORT
105,18.030001,18.65,17.809999,18.610001,18.610001,268700.0,2021-12-02,AORT
106,18.809999,18.940001,17.59,17.84,17.84,192200.0,2021-12-03,AORT
107,18.0,18.77,17.780001,18.459999,18.459999,146300.0,2021-12-06,AORT
108,18.6,19.07,18.52,18.639999,18.639999,115100.0,2021-12-07,AORT
109,18.610001,18.870001,18.41,18.76,18.76,113500.0,2021-12-08,AORT
110,18.67,19.08,18.440001,18.82,18.82,170300.0,2021-12-09,AORT
111,18.98,19.110001,18.360001,18.43,18.43,118500.0,2021-12-10,AORT
112,18.389999,18.58,17.91,18.309999,18.309999,169400.0,2021-12-13,AORT
113,18.299999,18.67,18.200001,18.370001,18.370001,158100.0,2021-12-14,AORT
114,18.450001,18.950001,18.26,18.860001,18.860001,217200.0,2021-12-15,AORT
115,18.99,19.34,18.32,18.389999,18.389999,202200.0,2021-12-16,AORT
116,18.790001,19.5,18.549999,19.290001,19.290001,1216700.0,2021-12-17,AORT
117,19.01,19.280001,18.549999,19.1,19.1,184500.0,2021-12-20,AORT
118,19.25,19.77,18.9,19.59,19.59,170600.0,2021-12-21,AORT
119,19.549999,19.950001,19.549999,19.93,19.93,126900.0,2021-12-22,AORT
120,20.0,20.379999,19.889999,20.35,20.35,120300.0,2021-12-23,AORT
121,20.360001,21.02,20.360001,20.82,20.82,210500.0,2021-12-27,AORT
122,20.85,20.85,19.870001,20.15,20.15,159800.0,2021-12-28,AORT
123,20.129999,20.33,19.879999,20.25,20.25,190000.0,2021-12-29,AORT
124,20.219999,20.65,20.219999,20.43,20.43,105600.0,2021-12-30,AORT
125,20.5,20.780001,20.309999,20.35,20.35,164600.0,2021-12-31,AORT
126,20.389999,21.76,20.219999,21.719999,21.719999,213900.0,2022-01-03,AORT
127,21.700001,22.0,21.59,21.66,21.66,155900.0,2022-01-04,AORT
128,21.65,22.01,21.33,21.379999,21.379999,173500.0,2022-01-05,AORT
129,21.370001,21.65,20.879999,21.32,21.32,144900.0,2022-01-06,AORT
130,20.93,21.290001,20.110001,20.34,20.34,198200.0,2022-01-07,AORT
131,20.15,20.68,19.700001,20.34,20.34,165300.0,2022-01-10,AORT
132,20.24,20.379999,19.530001,19.58,19.58,484000.0,2022-01-11,AORT
133,19.26,19.5,18.51,18.629999,18.629999,226000.0,2022-01-12,AORT
134,18.690001,19.110001,18.51,18.639999,18.639999,230900.0,2022-01-13,AORT
135,18.08,19.309999,18.030001,19.15,19.15,144100.0,2022-01-14,AORT
136,18.889999,18.91,18.139999,18.219999,18.219999,120600.0,2022-01-18,AORT
137,18.120001,18.77,17.82,17.98,17.98,161300.0,2022-01-19,AORT
138,17.870001,18.52,17.57,17.629999,17.629999,100100.0,2022-01-20,AORT
139,17.639999,18.219999,17.49,17.879999,17.879999,257500.0,2022-01-21,AORT
140,17.33,19.02,17.33,18.719999,18.719999,152400.0,2022-01-24,AORT
141,18.360001,18.889999,17.309999,18.18,18.18,236600.0,2022-01-25,AORT
142,18.26,18.33,17.360001,17.559999,17.559999,172400.0,2022-01-26,AORT
143,17.370001,18.120001,16.77,17.040001,17.040001,195300.0,2022-01-27,AORT
144,16.91,17.32,16.610001,17.290001,17.290001,238900.0,2022-01-28,AORT
145,17.290001,17.969999,17.200001,17.799999,17.799999,161500.0,2022-01-31,AORT
146,18.030001,18.15,17.190001,17.780001,17.780001,216300.0,2022-02-01,AORT
147,17.799999,17.799999,17.0,17.26,17.26,201700.0,2022-02-02,AORT
148,17.059999,17.389999,16.870001,16.950001,16.950001,212900.0,2022-02-03,AORT
149,16.889999,17.299999,16.58,17.219999,17.219999,117400.0,2022-02-04,AORT
150,17.200001,17.92,16.9,17.379999,17.379999,121300.0,2022-02-07,AORT
151,17.559999,17.98,17.4,17.91,17.91,80100.0,2022-02-08,AORT
152,18.17,18.700001,17.93,18.129999,18.129999,105300.0,2022-02-09,AORT
153,17.709999,18.110001,17.629999,17.74,17.74,164500.0,2022-02-10,AORT
154,17.940001,18.5,17.33,17.700001,17.700001,93600.0,2022-02-11,AORT
155,17.790001,18.049999,17.57,17.709999,17.709999,128900.0,2022-02-14,AORT
156,17.98,18.200001,17.85,18.0,18.0,125300.0,2022-02-15,AORT
157,18.0,18.0,17.389999,17.76,17.76,167400.0,2022-02-16,AORT
158,17.57,17.709999,17.23,17.5,17.5,101500.0,2022-02-17,AORT
159,17.35,17.809999,16.559999,17.75,17.75,345000.0,2022-02-18,AORT
160,17.67,18.4,17.4,17.450001,17.450001,184100.0,2022-02-22,AORT
161,17.52,18.6,17.469999,18.440001,18.440001,185900.0,2022-02-23,AORT
162,18.280001,19.370001,18.059999,19.32,19.32,145800.0,2022-02-24,AORT
163,19.309999,19.49,18.76,19.35,19.35,141700.0,2022-02-25,AORT
164,19.25,20.1,19.25,19.549999,19.549999,255000.0,2022-02-28,AORT
165,19.91,20.08,19.68,19.889999,19.889999,166100.0,2022-03-01,AORT
166,20.16,20.9,20.1,20.799999,20.799999,152100.0,2022-03-02,AORT
167,21.32,22.040001,20.860001,21.16,21.16,299900.0,2022-03-03,AORT
168,20.83,21.73,20.73,21.690001,21.690001,120000.0,2022-03-04,AORT
169,21.370001,21.67,21.299999,21.309999,21.309999,171600.0,2022-03-07,AORT
170,21.51,21.68,19.93,20.32,20.32,261700.0,2022-03-08,AORT
171,20.459999,20.76,19.91,20.73,20.73,215900.0,2022-03-09,AORT
172,20.34,20.65,20.02,20.549999,20.549999,104600.0,2022-03-10,AORT
173,20.76,20.91,19.58,19.610001,19.610001,153900.0,2022-03-11,AORT
174,19.690001,19.76,19.07,19.25,19.25,151500.0,2022-03-14,AORT
175,19.469999,19.74,19.110001,19.52,19.52,99700.0,2022-03-15,AORT
176,19.82,20.459999,19.700001,20.389999,20.389999,238700.0,2022-03-16,AORT
177,20.24,21.66,20.01,21.540001,21.540001,175600.0,2022-03-17,AORT
178,21.66,21.85,21.299999,21.74,21.74,432900.0,2022-03-18,AORT
179,21.65,21.76,20.690001,20.860001,20.860001,98600.0,2022-03-21,AORT
180,20.75,21.139999,20.57,20.639999,20.639999,139600.0,2022-03-22,AORT
181,20.34,20.34,19.34,19.790001,19.790001,239000.0,2022-03-23,AORT
182,19.66,20.26,19.6,20.25,20.25,174200.0,2022-03-24,AORT
183,20.26,21.0,20.059999,20.49,20.49,217000.0,2022-03-25,AORT
184,20.299999,20.66,20.299999,20.559999,20.559999,161700.0,2022-03-28,AORT
185,21.040001,21.360001,20.809999,21.09,21.09,254500.0,2022-03-29,AORT
186,21.110001,21.57,21.030001,21.49,21.49,210900.0,2022-03-30,AORT
187,21.23,21.719999,21.219999,21.379999,21.379999,214300.0,2022-03-31,AORT
188,21.51,21.9,21.379999,21.66,21.66,205500.0,2022-04-01,AORT
189,21.76,21.76,20.860001,21.360001,21.360001,207100.0,2022-04-04,AORT
190,21.389999,22.0,21.299999,21.33,21.33,216500.0,2022-04-05,AORT
191,21.290001,21.950001,20.98,21.84,21.84,304300.0,2022-04-06,AORT
192,21.940001,22.5,21.6,22.5,22.5,335900.0,2022-04-07,AORT
193,22.540001,22.75,21.870001,22.18,22.18,273400.0,2022-04-08,AORT
194,22.18,22.18,20.870001,20.959999,20.959999,229300.0,2022-04-11,AORT
195,21.190001,21.4,20.940001,20.969999,20.969999,519000.0,2022-04-12,AORT
196,21.07,21.790001,20.860001,21.5,21.5,247800.0,2022-04-13,AORT
197,21.639999,22.200001,21.42,22.16,22.16,195500.0,2022-04-14,AORT
198,22.129999,22.950001,21.379999,21.469999,21.469999,195100.0,2022-04-18,AORT
199,21.76,22.690001,21.629999,22.42,22.42,239500.0,2022-04-19,AORT
200,22.780001,23.07,22.389999,22.6,22.6,271600.0,2022-04-20,AORT
201,22.74,22.82,22.27,22.66,22.66,310600.0,2022-04-21,AORT
202,22.440001,22.98,21.67,21.719999,21.719999,272500.0,2022-04-22,AORT
203,22.0,22.950001,22.0,22.91,22.91,340500.0,2022-04-25,AORT
204,22.66,22.83,21.809999,21.83,21.83,300300.0,2022-04-26,AORT
205,21.639999,22.08,20.790001,20.940001,20.940001,269100.0,2022-04-27,AORT
206,21.33,21.33,20.219999,20.709999,20.709999,197700.0,2022-04-28,AORT
207,20.52,21.120001,20.23,20.290001,20.290001,157900.0,2022-04-29,AORT
208,20.33,20.83,20.129999,20.4,20.4,187800.0,2022-05-02,AORT
209,20.280001,20.59,20.01,20.35,20.35,190800.0,2022-05-03,AORT
210,20.41,20.809999,20.059999,20.700001,20.700001,207200.0,2022-05-04,AORT
211,20.32,20.84,18.9,19.16,19.16,203500.0,2022-05-05,AORT
212,19.549999,20.15,17.950001,18.34,18.34,335100.0,2022-05-06,AORT
213,18.08,18.629999,16.24,16.52,16.52,238600.0,2022-05-09,AORT
214,16.68,16.76,15.96,16.219999,16.219999,348700.0,2022-05-10,AORT
215,16.209999,17.1,15.62,15.74,15.74,212400.0,2022-05-11,AORT
216,15.71,16.15,15.44,15.73,15.73,244300.0,2022-05-12,AORT
217,15.91,16.52,15.91,16.41,16.41,133000.0,2022-05-13,AORT
218,16.540001,17.389999,16.42,17.24,17.24,247600.0,2022-05-16,AORT
219,17.57,18.57,17.57,18.26,18.26,237200.0,2022-05-17,AORT
220,18.309999,19.120001,18.200001,18.48,18.48,343400.0,2022-05-18,AORT
221,18.360001,18.68,17.73,18.07,18.07,252800.0,2022-05-19,AORT
222,18.450001,18.99,18.25,18.84,18.84,205300.0,2022-05-20,AORT
223,19.15,19.27,18.540001,18.75,18.75,179200.0,2022-05-23,AORT
224,18.540001,18.780001,18.18,18.290001,18.290001,153600.0,2022-05-24,AORT
225,18.209999,18.93,18.209999,18.74,18.74,119500.0,2022-05-25,AORT
226,18.99,19.290001,18.99,19.07,19.07,102000.0,2022-05-26,AORT
227,19.209999,19.82,18.99,19.469999,19.469999,97800.0,2022-05-27,AORT
228,19.110001,19.700001,18.98,19.559999,19.559999,155800.0,2022-05-31,AORT
229,19.33,19.59,18.719999,19.040001,19.040001,182000.0,2022-06-01,AORT
230,18.76,19.34,18.76,19.09,19.09,223900.0,2022-06-02,AORT
231,18.780001,18.85,18.1,18.139999,18.139999,115000.0,2022-06-03,AORT
232,18.43,18.540001,17.92,18.030001,18.030001,98200.0,2022-06-06,AORT
233,17.959999,18.27,17.860001,18.0,18.0,165000.0,2022-06-07,AORT
