,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,15.83,15.87,15.41,15.61,14.033843,767300.0,2021-07-06,ARI
1,15.62,15.65,15.24,15.36,13.809086,746900.0,2021-07-07,ARI
2,15.15,15.35,14.79,14.97,13.458466,1434800.0,2021-07-08,ARI
3,15.1,15.7,15.1,15.69,14.105764,883800.0,2021-07-09,ARI
4,15.7,15.82,15.46,15.8,14.204659,597600.0,2021-07-12,ARI
5,15.71,15.72,15.38,15.44,13.881008,685800.0,2021-07-13,ARI
6,15.42,15.65,15.09,15.21,13.674232,802400.0,2021-07-14,ARI
7,15.21,15.47,15.1,15.29,13.746154,1415800.0,2021-07-15,ARI
8,15.44,15.56,15.13,15.3,13.755143,995000.0,2021-07-16,ARI
9,14.98,15.14,14.61,14.95,13.440483,1418100.0,2021-07-19,ARI
10,14.98,15.6,14.93,15.46,13.89899,1324000.0,2021-07-20,ARI
11,15.55,15.9,15.55,15.78,14.186679,1091500.0,2021-07-21,ARI
12,15.73,15.81,15.35,15.38,13.827066,639300.0,2021-07-22,ARI
13,15.53,15.65,15.32,15.52,13.952931,629800.0,2021-07-23,ARI
14,15.59,15.92,15.59,15.65,14.069803,746000.0,2021-07-26,ARI
15,15.53,15.54,15.18,15.42,13.863028,663500.0,2021-07-27,ARI
16,15.48,15.64,15.28,15.46,13.89899,704200.0,2021-07-28,ARI
17,15.54,15.76,15.33,15.38,13.827066,1666900.0,2021-07-29,ARI
18,15.44,15.67,15.09,15.22,13.683222,1003100.0,2021-07-30,ARI
19,15.24,15.51,15.06,15.08,13.557359,816400.0,2021-08-02,ARI
20,15.14,15.41,14.81,15.35,13.800097,1328700.0,2021-08-03,ARI
21,15.22,15.34,15.01,15.01,13.494426,735700.0,2021-08-04,ARI
22,15.1,15.36,15.1,15.32,13.773125,527300.0,2021-08-05,ARI
23,15.48,15.61,15.28,15.39,13.836058,420700.0,2021-08-06,ARI
24,15.32,15.39,15.12,15.13,13.602309,390800.0,2021-08-09,ARI
25,15.13,15.41,15.04,15.38,13.827066,609400.0,2021-08-10,ARI
26,15.4,15.41,15.22,15.4,13.845047,467100.0,2021-08-11,ARI
27,15.4,15.4,15.21,15.28,13.737164,559500.0,2021-08-12,ARI
28,15.26,15.33,15.2,15.25,13.710194,654900.0,2021-08-13,ARI
29,15.2,15.21,15.02,15.1,13.575338,500900.0,2021-08-16,ARI
30,15.0,15.19,14.88,15.18,13.647262,821500.0,2021-08-17,ARI
31,15.07,15.3,15.01,15.02,13.503416,727400.0,2021-08-18,ARI
32,14.82,14.88,14.63,14.74,13.251687,885400.0,2021-08-19,ARI
33,14.66,14.98,14.6,14.98,13.467455,612000.0,2021-08-20,ARI
34,15.08,15.16,15.0,15.13,13.602309,451800.0,2021-08-23,ARI
35,15.24,15.29,15.14,15.21,13.674232,509500.0,2021-08-24,ARI
36,15.15,15.48,15.12,15.38,13.827066,633200.0,2021-08-25,ARI
37,15.35,15.45,15.06,15.07,13.548368,506700.0,2021-08-26,ARI
38,15.1,15.59,15.1,15.55,13.979901,731300.0,2021-08-27,ARI
39,15.6,15.6,15.36,15.44,13.881008,522800.0,2021-08-30,ARI
40,15.44,15.64,15.44,15.55,13.979901,443800.0,2021-08-31,ARI
41,15.58,15.72,15.47,15.62,14.042833,553700.0,2021-09-01,ARI
42,15.68,15.68,15.46,15.5,13.93495,467200.0,2021-09-02,ARI
43,15.45,15.49,15.36,15.49,13.92596,467000.0,2021-09-03,ARI
44,15.5,15.62,15.34,15.41,13.854037,695600.0,2021-09-07,ARI
45,15.35,15.4,15.11,15.12,13.593318,965500.0,2021-09-08,ARI
46,15.1,15.41,15.06,15.2,13.66524,504900.0,2021-09-09,ARI
47,15.2,15.28,14.81,14.81,13.31462,789000.0,2021-09-10,ARI
48,14.94,15.04,14.81,15.02,13.503416,558300.0,2021-09-13,ARI
49,15.11,15.11,14.87,14.97,13.458466,553100.0,2021-09-14,ARI
50,14.96,15.21,14.93,15.19,13.656251,543000.0,2021-09-15,ARI
51,15.19,15.26,15.11,15.13,13.602309,414600.0,2021-09-16,ARI
52,15.21,15.29,15.09,15.22,13.683222,1684700.0,2021-09-17,ARI
53,14.95,15.05,14.66,14.89,13.386542,1288400.0,2021-09-20,ARI
54,14.92,15.08,14.86,14.88,13.377552,758800.0,2021-09-21,ARI
55,14.97,15.3,14.95,15.14,13.6113,590500.0,2021-09-22,ARI
56,15.2,15.33,15.2,15.26,13.719183,591100.0,2021-09-23,ARI
57,15.25,15.33,15.17,15.26,13.719183,648700.0,2021-09-24,ARI
58,15.35,15.66,15.32,15.42,13.863028,793600.0,2021-09-27,ARI
59,15.45,15.5,15.26,15.34,13.791105,960500.0,2021-09-28,ARI
60,15.0,15.08,14.85,15.0,13.800306,685800.0,2021-09-29,ARI
61,15.09,15.14,14.83,14.83,13.643902,775900.0,2021-09-30,ARI
62,14.92,15.24,14.83,15.13,13.919909,868800.0,2021-10-01,ARI
63,15.17,15.34,15.05,15.07,13.864707,596600.0,2021-10-04,ARI
64,15.08,15.22,14.95,15.15,13.938309,531400.0,2021-10-05,ARI
65,15.01,15.17,14.86,15.16,13.947508,452000.0,2021-10-06,ARI
66,15.21,15.38,15.09,15.15,13.938309,677700.0,2021-10-07,ARI
67,15.13,15.25,15.08,15.12,13.910707,269500.0,2021-10-08,ARI
68,15.15,15.28,15.03,15.11,13.901508,336100.0,2021-10-11,ARI
69,15.17,15.5,15.09,15.28,14.057911,653600.0,2021-10-12,ARI
70,15.28,15.38,15.16,15.36,14.131513,403600.0,2021-10-13,ARI
71,15.4,15.55,15.38,15.43,14.195915,488400.0,2021-10-14,ARI
72,15.66,15.98,15.32,15.32,14.094712,682700.0,2021-10-15,ARI
73,15.28,15.44,15.24,15.38,14.149914,468600.0,2021-10-18,ARI
74,15.44,15.44,15.28,15.32,14.094712,430600.0,2021-10-19,ARI
75,15.27,15.62,15.26,15.53,14.287916,485300.0,2021-10-20,ARI
76,15.55,15.71,15.42,15.49,14.251116,685200.0,2021-10-21,ARI
77,15.56,15.62,15.41,15.5,14.260316,548200.0,2021-10-22,ARI
78,15.5,15.66,15.49,15.57,14.324718,582700.0,2021-10-25,ARI
79,15.51,15.51,14.92,15.04,13.837108,1496700.0,2021-10-26,ARI
80,15.0,15.15,14.94,14.97,13.772706,780100.0,2021-10-27,ARI
