,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,6.74,6.77,6.5,6.58,6.58,364000.0,2021-07-06,ARLO
1,6.55,6.55,6.33,6.42,6.42,513100.0,2021-07-07,ARLO
2,6.25,6.37,6.09,6.23,6.23,619100.0,2021-07-08,ARLO
3,6.27,6.29,6.12,6.27,6.27,383800.0,2021-07-09,ARLO
4,6.21,6.31,6.06,6.31,6.31,369400.0,2021-07-12,ARLO
5,6.22,6.24,6.02,6.03,6.03,475600.0,2021-07-13,ARLO
6,6.04,6.15,5.91,5.97,5.97,1624700.0,2021-07-14,ARLO
7,6.99,7.0,6.26,6.39,6.39,5516400.0,2021-07-15,ARLO
8,6.37,6.42,5.94,5.94,5.94,1820800.0,2021-07-16,ARLO
9,5.75,6.24,5.73,6.14,6.14,1398900.0,2021-07-19,ARLO
10,6.16,6.38,6.04,6.26,6.26,1053700.0,2021-07-20,ARLO
11,6.21,6.7,6.21,6.64,6.64,1259600.0,2021-07-21,ARLO
12,6.61,6.62,6.26,6.28,6.28,722400.0,2021-07-22,ARLO
13,6.26,6.31,6.13,6.24,6.24,560900.0,2021-07-23,ARLO
14,6.27,6.41,6.22,6.32,6.32,611300.0,2021-07-26,ARLO
15,6.25,6.3,5.92,6.13,6.13,951300.0,2021-07-27,ARLO
16,6.14,6.39,6.13,6.28,6.28,611300.0,2021-07-28,ARLO
17,6.32,6.41,6.23,6.29,6.29,507300.0,2021-07-29,ARLO
18,6.23,6.32,6.1,6.11,6.11,572000.0,2021-07-30,ARLO
19,6.13,6.27,6.12,6.24,6.24,650800.0,2021-08-02,ARLO
20,6.29,6.31,6.14,6.19,6.19,677300.0,2021-08-03,ARLO
21,6.1,6.23,6.05,6.12,6.12,906600.0,2021-08-04,ARLO
22,6.08,6.08,5.5,6.03,6.03,2628600.0,2021-08-05,ARLO
23,5.99,6.04,5.82,5.98,5.98,992900.0,2021-08-06,ARLO
24,5.9,6.12,5.85,6.08,6.08,980300.0,2021-08-09,ARLO
25,6.08,6.34,6.07,6.25,6.25,1065700.0,2021-08-10,ARLO
26,6.23,6.3,6.06,6.11,6.11,870400.0,2021-08-11,ARLO
27,6.05,6.16,5.99,6.12,6.12,646800.0,2021-08-12,ARLO
28,6.14,6.19,5.96,5.97,5.97,498300.0,2021-08-13,ARLO
29,5.97,5.99,5.78,5.78,5.78,706000.0,2021-08-16,ARLO
30,5.7,5.76,5.57,5.58,5.58,952900.0,2021-08-17,ARLO
31,5.63,5.8,5.58,5.68,5.68,530900.0,2021-08-18,ARLO
32,5.6,5.67,5.52,5.56,5.56,594800.0,2021-08-19,ARLO
33,5.53,5.79,5.52,5.73,5.73,635200.0,2021-08-20,ARLO
34,5.79,5.94,5.78,5.88,5.88,529500.0,2021-08-23,ARLO
35,5.9,6.02,5.88,5.98,5.98,496300.0,2021-08-24,ARLO
36,5.98,6.22,5.96,6.1,6.1,822700.0,2021-08-25,ARLO
37,6.07,6.19,5.91,5.92,5.92,694900.0,2021-08-26,ARLO
38,5.91,6.11,5.91,6.09,6.09,990700.0,2021-08-27,ARLO
