,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,13.76,13.76,13.44,13.71,12.900088,1710900.0,2021-07-06,BDN
1,13.63,13.73,13.52,13.55,12.749539,2349400.0,2021-07-07,BDN
2,13.4,13.77,13.21,13.59,12.787178,2783100.0,2021-07-08,BDN
3,13.74,13.95,13.69,13.95,13.125911,1810800.0,2021-07-09,BDN
4,13.96,14.23,13.86,14.23,13.389369,1658500.0,2021-07-12,BDN
5,14.24,14.24,13.88,13.98,13.154138,1894600.0,2021-07-13,BDN
6,13.99,14.16,13.88,14.05,13.220003,1943400.0,2021-07-14,BDN
7,14.0,14.16,13.92,14.03,13.201183,1843600.0,2021-07-15,BDN
8,14.13,14.13,13.94,13.95,13.125911,1762600.0,2021-07-16,BDN
9,13.7,13.83,13.37,13.5,12.702494,2494700.0,2021-07-19,BDN
10,13.51,14.27,13.5,14.17,13.332913,2451600.0,2021-07-20,BDN
11,14.24,14.6,14.22,14.45,13.596373,2254100.0,2021-07-21,BDN
12,14.35,14.35,13.99,14.03,13.201183,1758700.0,2021-07-22,BDN
13,14.14,14.19,13.91,13.98,13.154138,1355500.0,2021-07-23,BDN
14,14.02,14.21,13.92,14.08,13.24823,1679500.0,2021-07-26,BDN
15,13.88,14.13,13.71,13.96,13.13532,2883600.0,2021-07-27,BDN
16,14.06,14.17,13.79,13.96,13.13532,1861000.0,2021-07-28,BDN
17,14.07,14.22,13.96,13.97,13.144729,1634500.0,2021-07-29,BDN
18,13.98,14.23,13.88,13.96,13.13532,3875200.0,2021-07-30,BDN
19,14.04,14.32,13.7,13.71,12.900088,1890000.0,2021-08-02,BDN
20,13.71,13.87,13.4,13.59,12.787178,1544400.0,2021-08-03,BDN
21,13.49,13.58,13.25,13.26,12.476673,1196600.0,2021-08-04,BDN
22,13.39,13.6,13.31,13.52,12.721313,975800.0,2021-08-05,BDN
23,13.66,13.85,13.61,13.76,12.947135,1369800.0,2021-08-06,BDN
24,13.7,13.79,13.6,13.71,12.900088,1138400.0,2021-08-09,BDN
25,13.75,13.8,13.6,13.65,12.843633,1039200.0,2021-08-10,BDN
26,13.71,13.87,13.57,13.86,13.041227,1006900.0,2021-08-11,BDN
27,13.9,13.97,13.59,13.68,12.871861,1049200.0,2021-08-12,BDN
28,13.66,13.85,13.61,13.8,12.984772,1073200.0,2021-08-13,BDN
29,13.71,13.88,13.68,13.75,12.937726,2696000.0,2021-08-16,BDN
30,13.7,13.79,13.47,13.68,12.871861,1788000.0,2021-08-17,BDN
31,13.61,13.69,13.42,13.45,12.655448,1824500.0,2021-08-18,BDN
32,13.38,13.55,13.24,13.4,12.608401,1538200.0,2021-08-19,BDN
33,13.36,13.56,13.17,13.5,12.702494,2632400.0,2021-08-20,BDN
34,13.54,13.82,13.47,13.8,12.984772,2288800.0,2021-08-23,BDN
35,13.89,13.97,13.65,13.97,13.144729,2518000.0,2021-08-24,BDN
36,13.97,14.14,13.81,14.0,13.172956,2160700.0,2021-08-25,BDN
37,14.04,14.11,13.9,14.0,13.172956,3191700.0,2021-08-26,BDN
38,14.07,14.32,14.0,14.2,13.361141,1550400.0,2021-08-27,BDN
39,14.18,14.18,13.9,14.01,13.182365,1644800.0,2021-08-30,BDN
40,14.0,14.08,13.88,13.88,13.060046,3101800.0,2021-08-31,BDN
